,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
2,Boston Celtics,82,56,26,48.2,99.8,31.0,70.9,8.2,4.2,15.1,12.5,11.2,37.0
3,Milwaukee Bucks,82,35,47,48.4,101.5,30.2,71.0,7.5,4.9,14.8,11.9,12.1,37.5
4,Orlando Magic,82,52,30,48.4,101.8,32.7,72.3,6.7,4.7,16.5,11.5,10.7,35.4
5,Miami Heat,82,58,24,48.2,102.9,32.5,71.5,6.6,5.2,15.5,12.8,13.0,38.6
6,Los Angeles Lakers,82,57,25,48.4,103.2,31.9,69.2,7.3,5.1,14.7,13.8,13.7,39.9
7,Philadelphia 76ers,82,41,41,48.6,103.8,31.4,71.4,7.6,4.3,14.7,12.2,13.3,41.0
8,Dallas Mavericks,82,57,25,48.1,104.1,31.9,71.3,6.8,4.3,15.4,12.6,13.9,42.0
9,New Orleans Hornets,82,46,36,48.4,104.4,30.1,72.1,7.6,4.4,14.6,10.5,11.7,38.1
10,San Antonio Spurs,82,61,21,48.2,104.4,31.7,71.1,7.3,4.5,15.3,13.2,14.0,41.2
11,Memphis Grizzlies,82,46,36,48.5,104.5,29.2,68.2,9.4,5.4,15.3,12.7,15.0,40.3
12,Indiana Pacers,82,37,45,48.2,105.0,32.4,70.3,7.1,5.6,17.1,12.9,13.3,39.0
13,Portland Trail Blazers,82,48,34,48.3,105.7,27.2,68.2,8.0,4.4,15.0,13.3,11.4,40.2
14,Atlanta Hawks,82,44,38,48.1,105.8,30.0,71.0,6.1,4.2,15.2,12.8,14.1,40.5
15,Oklahoma City Thunder,82,55,27,48.8,105.9,31.8,69.7,8.0,5.9,15.4,14.4,12.3,44.9
16,Denver Nuggets,82,50,32,48.1,106.8,32.3,71.6,7.4,4.3,15.6,13.2,12.2,41.2
17,Charlotte Bobcats,82,34,48,48.3,106.9,29.8,70.5,6.4,5.3,16.5,12.8,14.3,39.8
18,Houston Rockets,82,43,39,48.5,107.9,31.1,69.0,7.1,4.5,15.2,14.3,14.7,45.9
19,Los Angeles Clippers,82,32,50,48.4,108.0,30.5,69.2,7.1,4.9,19.1,13.2,14.2,41.0
20,Sacramento Kings,82,24,58,48.4,108.4,30.8,70.2,7.4,4.8,18.9,12.8,17.8,46.0
21,Utah Jazz,82,39,43,48.5,108.8,28.5,67.9,7.7,5.9,16.6,12.9,13.1,40.3
22,New Jersey Nets,82,24,58,48.8,108.9,29.8,70.0,5.6,4.7,15.9,13.0,13.3,41.5
23,New York Knicks,82,42,40,48.2,109.0,30.1,67.6,7.6,5.8,16.1,14.5,12.7,46.0
24,Washington Wizards,82,23,59,48.6,109.1,29.0,67.1,8.1,6.1,18.1,14.0,16.6,44.1
25,Phoenix Suns,82,40,42,48.8,109.3,30.2,68.1,6.6,4.4,16.8,14.0,14.0,43.8
26,Golden State Warriors,82,36,46,48.4,109.4,28.9,65.9,9.0,5.0,17.6,14.4,19.3,45.5
27,Minnesota Timberwolves,82,17,65,48.2,109.9,31.2,69.8,7.2,5.1,20.0,14.2,17.1,41.8
28,Detroit Pistons,82,30,52,48.5,110.7,27.3,68.1,7.3,4.0,16.3,13.9,15.7,44.0
29,Cleveland Cavaliers,82,19,63,48.2,110.9,29.9,69.9,6.6,4.2,15.8,13.2,14.2,42.2
30,Toronto Raptors,82,22,60,48.2,111.7,28.6,68.5,7.1,4.3,17.7,13.9,16.7,47.4
